Date,Transaction_Amount,Location,Anomaly
2024-05-06,16142.7,Chennai,1
2024-05-14,3432.41,Chennai,0
2024-07-05,3480.29,Chennai,0
2024-01-24,2634.92,Chennai,0
2024-05-06,3073.52,Chennai,0
2024-01-18,4500.08,Chennai,0
2024-08-04,2651.92,Chennai,0
2024-04-05,986.64,Chennai,0
2024-01-21,593.65,Chennai,0
2024-03-30,1456.95,Chennai,0
2024-09-11,4620.93,Mumbai,1
2024-02-11,3398.46,Chennai,0
2024-11-08,3010.23,Chennai,0
2024-10-02,12218.11,Chennai,1
2024-07-28,580.42,Chennai,0
2024-07-08,2719.85,Chennai,0
2024-11-25,1596.14,Chennai,0
2024-08-27,852.55,Chennai,0
2024-11-30,18106.38,Chennai,1
2024-02-20,4025.02,Chennai,0
2024-07-28,474.39,Chennai,0
2024-02-14,2652.28,Chennai,0
2024-12-13,1645.96,Kolkata,1
2024-10-17,3794.2,Chennai,0
2024-01-08,3046.13,Chennai,0
2024-02-20,3984.06,Chennai,0
2024-09-22,3435.02,Chennai,0
2024-09-03,2330.96,Chennai,0
2024-07-12,189.64,Chennai,0
2024-02-13,183.83,Chennai,0
2024-05-07,1701.13,Chennai,0
2024-03-03,1138.67,Chennai,0
2024-09-03,3547.36,Chennai,0
2024-08-25,2431.24,Chennai,0
2024-11-05,494.16,Chennai,0
2024-08-03,1374.1,Chennai,0
2024-12-12,2424.94,Chennai,0
2024-12-18,14223.09,Chennai,1
2024-09-07,190.13,Chennai,0
2024-12-27,3335.46,Chennai,0
2024-12-25,3019.45,Chennai,0
2024-07-11,2636.63,Chennai,0
2024-04-18,3652.44,Chennai,0
2024-10-19,4885.4,Chennai,0
2024-07-20,1090.22,Chennai,0
2024-09-29,4218.89,Chennai,0
2024-05-01,997.29,Chennai,0
2024-08-27,3538.81,Bangalore,1
2024-09-09,4900.09,Chennai,0
2024-11-14,3048.24,Chennai,0
2024-07-23,4335.53,Chennai,0
2024-02-03,802.13,Chennai,0
2024-08-06,138.43,Chennai,0
2024-11-28,1020.41,Chennai,0
2024-08-27,17062.92,Chennai,1
2024-10-01,1924.69,Chennai,0
2024-03-28,2127.36,Chennai,0
2024-04-16,484.14,Chennai,0
2024-07-16,741.29,Chennai,0
2024-02-14,4476.03,Chennai,0
2024-12-26,3722.08,Chennai,0
2024-05-27,3976.42,Chennai,0
2024-04-15,827.54,Chennai,0
2024-05-05,1677.48,Chennai,0
2024-05-16,1253.16,Chennai,0
2024-06-12,495.1,Hyderabad,1
2024-02-09,1306.46,Chennai,0
2024-12-12,4373.84,Chennai,0
2024-11-05,2323.0,Chennai,0
2024-10-15,4302.86,Chennai,0
2024-08-31,3178.41,Chennai,0
2024-08-01,3624.17,Chennai,0
2024-02-20,264.63,Bangalore,1
2024-07-28,4374.85,Chennai,0
2024-12-13,2146.29,Chennai,0
2024-12-28,4643.25,Chennai,0
2024-01-07,1147.54,Chennai,0
2024-03-15,1421.02,Chennai,0
2024-10-18,3560.1,Chennai,0
2024-04-30,2835.83,Delhi,1
2024-04-17,554.44,Chennai,0
2024-06-11,809.73,Chennai,0
2024-10-11,746.98,Chennai,0
2024-04-01,929.88,Chennai,0
2024-10-05,1322.88,Chennai,0
2024-04-28,2950.77,Chennai,0
2024-06-26,901.27,Chennai,0
2024-09-14,1853.14,Kolkata,1
2024-11-26,4294.36,Chennai,0
2024-10-06,2408.09,Chennai,0
2024-10-25,4437.0,Chennai,0
2024-07-31,1105.38,Chennai,0
2024-11-01,2401.63,Chennai,0
2024-10-15,956.31,Chennai,0
2024-12-07,1542.98,Chennai,0
2024-12-01,1165.37,Chennai,0
2024-11-25,237.68,Chennai,0
2024-11-22,3591.81,Chennai,0
2024-10-10,3543.23,Chennai,0
2024-04-10,32577.29,Chennai,1
2024-07-26,3070.3,Chennai,0
2024-07-24,4459.55,Chennai,0
2024-09-08,4767.93,Chennai,0
2024-07-30,4310.84,Chennai,0
2024-06-18,1701.89,Chennai,0
2024-08-24,2212.84,Chennai,0
2024-05-01,1984.22,Chennai,0
2024-01-22,1715.27,Chennai,0
2024-01-28,4894.04,Chennai,0
2024-12-31,877.2,Chennai,0
2024-09-15,3522.99,Chennai,0
2024-10-31,481.79,Chennai,0
2024-08-16,3711.55,Chennai,0
2024-06-29,1650.09,Chennai,0
2024-05-22,3410.28,Chennai,0
2024-01-20,3042.07,Chennai,0
2024-10-11,2712.24,Chennai,0
2024-08-04,39967.75,Chennai,1
2024-03-25,1275.1,Chennai,0
2024-01-26,952.48,Chennai,0
2024-09-04,2746.67,Chennai,0
2024-05-23,4625.93,Chennai,0
2024-11-17,1593.23,Chennai,0
2024-11-16,3577.79,Chennai,0
2024-02-20,723.43,Chennai,0
2024-02-18,3978.22,Chennai,0
2024-11-06,4530.47,Chennai,0
2024-11-09,762.37,Chennai,0
2024-09-01,1762.42,Chennai,0
2024-11-29,4175.07,Chennai,0
2024-09-21,2529.06,Chennai,0
2024-11-14,3160.39,Chennai,0
2024-12-17,3645.76,Chennai,0
2024-12-16,3592.61,Chennai,0
2024-05-11,4684.41,Chennai,0
2024-10-12,4774.25,Chennai,0
2024-08-13,4681.7,Chennai,0
2024-10-07,311.77,Chennai,0
2024-04-28,4975.18,Chennai,0
2024-03-15,2127.97,Chennai,0
2024-08-31,4075.01,Chennai,0
2024-05-20,2501.4,Chennai,0
2024-12-16,3929.39,Chennai,0
2024-07-02,4950.6,Chennai,0
2024-03-24,372.74,Chennai,0
2024-12-28,375.64,Chennai,0
2024-09-10,966.94,Chennai,0
2024-05-21,3703.59,Chennai,0
2024-05-26,2598.06,Chennai,0
2024-06-30,3410.64,Chennai,0
2024-12-06,2679.65,Chennai,0
2024-03-05,11552.65,Kolkata,1
2024-02-10,3020.05,Chennai,0
2024-01-18,3935.34,Chennai,0
2024-02-21,3519.7,Chennai,0
2024-01-05,4171.1,Chennai,0
2024-03-26,1687.66,Chennai,0
2024-09-10,3892.93,Chennai,0
2024-04-08,39104.84,Chennai,1
2024-08-01,3385.2,Chennai,0
2024-08-30,2427.61,Chennai,0
2024-06-10,241.57,Chennai,0
2024-12-08,4956.32,Chennai,0
2024-05-07,4351.07,Chennai,0
2024-01-16,4139.53,Chennai,0
2024-10-24,2739.77,Chennai,0
2024-02-18,4865.64,Chennai,0
2024-12-13,2018.88,Chennai,0
2024-10-26,2164.69,Chennai,0
2024-10-19,1623.9,Chennai,0
2024-04-29,2779.63,Chennai,0
2024-02-25,937.17,Chennai,0
2024-02-25,2207.53,Chennai,0
2024-03-13,451.29,Chennai,0
2024-03-10,889.11,Chennai,0
2024-02-14,3045.93,Chennai,0
2024-06-02,915.97,Chennai,0
2024-03-28,49895.83,Chennai,1
2024-07-10,3082.25,Chennai,0
2024-09-17,3263.59,Chennai,0
2024-01-27,1456.85,Chennai,0
2024-10-30,524.18,Chennai,0
2024-06-11,1187.83,Chennai,0
2024-06-21,2955.95,Chennai,0
2024-06-09,4436.35,Mumbai,1
2024-03-02,1543.4,Chennai,0
2024-09-09,2791.04,Chennai,0
2024-11-11,2001.55,Chennai,0
2024-09-14,1906.22,Chennai,0
2024-10-24,1847.14,Chennai,0
2024-10-23,1663.5,Chennai,0
2024-09-05,202.64,Chennai,0
2024-11-26,4590.76,Chennai,0
2024-06-18,2268.04,Chennai,0
2024-03-15,4240.19,Chennai,0
2024-11-10,3862.75,Chennai,0
2024-03-09,4592.31,Chennai,0
2024-12-11,1365.95,Chennai,0
2024-02-01,4891.83,Kolkata,1
2024-08-17,4432.11,Chennai,0
2024-12-28,3350.39,Chennai,0
2024-03-08,529.06,Chennai,0
2024-02-21,4033.63,Chennai,0
